neo_id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,diameter_min_km,diameter_max_km,velocity_kms,miss_distance_km,approach_date,approach_date_full,orbiting_body,is_hazardous,is_sentry,created_at
3879165,3879165,(2019 TY6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3879165,25.04,0.0260948603,0.0583498816,15.2109133457,18340416.85505526,2025-10-04,2025-Oct-04 14:06,Earth,false,false,2025-10-03 13:34:50.502954
3879166,3879166,(2019 TB7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3879166,26.8,0.0116025908,0.0259441818,16.1827794551,67432746.63728686,2025-11-14,2025-Nov-14 21:07,Earth,false,false,2025-10-03 19:19:01.670502
3879228,3879228,(2019 UL),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3879228,29.1,0.0040230458,0.0089958039,18.893095028,68455871.54281986,2025-10-11,2025-Oct-11 19:40,Earth,false,true,2025-10-03 19:15:37.148944
3879725,3879725,(2019 UT6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3879725,21.92,0.109788026,0.2454934893,12.5865865667,2387788.285702943,2025-11-25,2025-Nov-25 14:14,Earth,true,false,2025-10-03 19:19:02.427056
3883085,3883085,(2019 UH7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3883085,27.46,0.0085616008,0.0191443215,5.7872736231,5093892.489969521,2025-11-08,2025-Nov-08 16:42,Earth,false,false,2025-10-03 19:19:01.670502
3883104,3883104,(2019 UC8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3883104,26.17,0.0155079709,0.0346768771,10.822494148,33215252.146452185,2025-10-29,2025-Oct-29 19:02,Earth,false,false,2025-10-03 19:19:00.869599
3892649,3892649,(2019 VX1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3892649,22.01,0.1053307015,0.2355266087,16.689677945,24257633.728951715,2025-11-16,2025-Nov-16 19:12,Earth,false,false,2025-10-03 19:19:02.427056
3892708,3892708,(2019 VZ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3892708,25.05,0.0259749653,0.0580817882,16.4682638359,66240258.60221498,2025-11-06,2025-Nov-06 09:56,Earth,false,false,2025-10-03 19:19:00.869599
3892709,3892709,(2019 VA4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3892709,27.8,0.0073207399,0.016369672,9.8879929217,22892948.597251486,2025-11-26,2025-Nov-26 02:07,Earth,false,false,2025-10-03 19:19:02.427056
3892813,3892813,(2019 VL5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3892813,25.86,0.0178877195,0.0399981568,9.0762322052,5635691.469743196,2025-11-14,2025-Nov-14 12:51,Earth,false,false,2025-10-03 19:19:01.670502
3893742,3893742,(2019 WL5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3893742,23.3,0.058150704,0.130028927,19.3763908194,56836608.3907513,2025-11-19,2025-Nov-19 00:39,Earth,false,false,2025-10-03 19:19:02.427056
3893865,3893865,(2019 XS),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3893865,23.84,0.0453476699,0.1014004725,16.6608973315,30082670.68420158,2025-11-16,2025-Nov-16 12:41,Earth,false,false,2025-10-03 19:19:02.427056
3986725,3986725,(2020 BH),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3986725,28.26,0.0059231806,0.0132446345,12.7478181007,45085772.74515435,2025-11-10,2025-Nov-10 11:50,Earth,false,true,2025-10-03 19:19:01.670502
3986735,3986735,(2020 BS),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3986735,27.9,0.0069912523,0.0156329154,12.2546741861,40238256.42803884,2025-10-27,2025-Oct-27 21:16,Earth,false,false,2025-10-03 19:19:00.869599
3989082,3989082,(2020 BA5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989082,24.3,0.0366906138,0.0820427065,2.5987901519,20263304.34305509,2025-11-20,2025-Nov-20 20:38,Earth,false,false,2025-10-03 19:19:02.427056
3989190,3989190,(2020 BL8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989190,25.71,0.0191670368,0.0428587972,3.8830804535,47755423.37429315,2025-11-12,2025-Nov-12 08:45,Earth,false,false,2025-10-03 19:19:01.670502
3989253,3989253,(2020 BD11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989253,24.29,0.0368599699,0.0824213984,7.976227195,44937281.55531725,2025-11-10,2025-Nov-10 23:02,Earth,false,false,2025-10-03 19:19:01.670502
3989261,3989261,(2020 BN11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989261,22.3,0.0921626549,0.2060819612,11.9102248273,22557892.332959753,2025-11-07,2025-Nov-07 01:52,Earth,false,false,2025-10-03 19:19:01.670502
3989280,3989280,(2020 BQ12),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989280,24.5,0.0334622374,0.0748238376,7.9851344003,21662180.3222602,2025-10-11,2025-Oct-11 05:11,Earth,false,false,2025-10-03 19:15:37.148944
3989355,3989355,(2020 CB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989355,27.7,0.0076657557,0.0171411509,9.3136818769,40931336.37352831,2025-11-09,2025-Nov-09 11:08,Earth,false,false,2025-10-03 19:19:01.670502
3991587,3991587,(2020 CR2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3991587,27.32,0.0091317703,0.020419259,21.6957600212,27751317.357208066,2025-10-04,2025-Oct-04 18:19,Earth,false,false,2025-10-03 13:34:50.502954
54006023,54006023,(2020 DR4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54006023,29.75,0.0029823251,0.0066686815,13.82763864,61096028.14936596,2025-10-26,2025-Oct-26 09:49,Earth,false,false,2025-10-03 19:19:00.869599
54016236,54016236,(2020 FS1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016236,21.13,0.1579628558,0.3532156834,16.43557818,51989930.86889288,2025-10-24,2025-Oct-24 21:02,Earth,false,false,2025-10-03 19:19:00.869599
54016324,54016324,(2020 FN3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016324,24.38,0.0353634784,0.0790751417,4.2315833352,21701000.790007755,2025-11-10,2025-Nov-10 23:36,Earth,false,false,2025-10-03 19:19:01.670502
54016365,54016365,(2020 FA5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016365,21.14,0.1572370824,0.3515928047,26.5351653292,6031044.1129648,2025-10-26,2025-Oct-26 02:21,Earth,true,true,2025-10-03 19:19:00.869599
